"","V1","V2"
"1",0,6.22445062960109e-07
"2",3.17969067969068e-08,2.32937980603992e-05
"3",6.35938135938136e-08,-2.74074455581731e-05
"4",9.53907203907204e-08,-6.21406550444697e-05
"5",1.27187627187627e-07,-6.33187952273966e-05
"6",1.58984533984534e-07,-8.83223979645647e-05
"7",1.90781440781441e-07,-8.75964060211059e-05
"8",2.22578347578348e-07,-5.21603099839606e-05
"9",2.54375254375254e-07,-4.58218597649039e-05
"10",2.86172161172161e-07,-4.11184925594744e-05
"11",3.17969067969068e-07,-7.77877745303386e-05
"12",3.49765974765975e-07,-9.25511554570359e-05
"13",3.81562881562882e-07,-0.00011216942248208
"14",4.13359788359788e-07,-9.57632177142788e-05
"15",4.45156695156695e-07,-0.000113782089491397
"16",4.76953601953602e-07,-0.000100417887310579
"17",5.08750508750509e-07,-0.000113480321546221
"18",5.40547415547415e-07,-0.00014098923679385
"19",5.72344322344322e-07,-0.000150066871473057
"20",6.04141229141229e-07,-0.000196569641126388
"21",6.35938135938136e-07,-0.00016657459694231
"22",6.67735042735043e-07,-0.000187343606021883
"23",6.99531949531949e-07,-0.000186509490888797
"24",7.31328856328856e-07,-0.000183359815998119
"25",7.63125763125763e-07,-0.000197202448905194
"26",7.9492266992267e-07,-0.000179550583326639
"27",8.26719576719577e-07,-0.000157362706238684
"28",8.58516483516483e-07,-0.000155092145324066
"29",8.9031339031339e-07,-0.000139752182868798
"30",9.22110297110297e-07,-0.000143605474217461
"31",9.53907203907204e-07,-0.000153030029349464
"32",9.85704110704111e-07,-0.00017868596302337
"33",1.01750101750102e-06,-0.000210676772704954
"34",1.04929792429792e-06,-0.000237197396075737
"35",1.08109483109483e-06,-0.000235227182742522
"36",1.11289173789174e-06,-0.000242071082955228
"37",1.14468864468864e-06,-0.000248245202685726
"38",1.17648555148555e-06,-0.000276527336109363
"39",1.20828245828246e-06,-0.000245223250480372
"40",1.24007936507937e-06,-0.000223844341819959
"41",1.27187627187627e-06,-0.000246033395001211
"42",1.30367317867318e-06,-0.000195781549770591
"43",1.33547008547009e-06,-0.000188982280704641
"44",1.36726699226699e-06,-0.000202725399053863
"45",1.3990638990639e-06,-0.000210573116445082
"46",1.43086080586081e-06,-0.000219028158121114
"47",1.46265771265771e-06,-0.000232572670462367
"48",1.49445461945462e-06,-0.00022147231272084
"49",1.52625152625153e-06,-0.000251313655391165
"50",1.55804843304843e-06,-0.000234098619920076
"51",1.58984533984534e-06,-0.000247384583643693
"52",1.62164224664225e-06,-0.000203240188939123
"53",1.65343915343915e-06,-0.000219316343032469
"54",1.68523606023606e-06,-0.000214838973607781
"55",1.71703296703297e-06,-0.000207885005109568
"56",1.74882987382987e-06,-0.000216383039536604
"57",1.78062678062678e-06,-0.000231371407868405
"58",1.81242368742369e-06,-0.000241297240706499
"59",1.84422059422059e-06,-0.00024249813927051
"60",1.8760175010175e-06,-0.000256259166380068
"61",1.90781440781441e-06,-0.000248758787294488
"62",1.93961131461131e-06,-0.000234049424018513
"63",1.97140822140822e-06,-0.000219314078547598
"64",2.00320512820513e-06,-0.000237762576194401
"65",2.03500203500203e-06,-0.000269298230681497
"66",2.06679894179894e-06,-0.000281020097045109
"67",2.09859584859585e-06,-0.000263031779762774
"68",2.13039275539276e-06,-0.000260655941305606
"69",2.16218966218966e-06,-0.000236685620547385
"70",2.19398656898657e-06,-0.000210341526554026
"71",2.22578347578348e-06,-0.00024070991824541
"72",2.25758038258038e-06,-0.000237619829479154
"73",2.28937728937729e-06,-0.000239695236513036
"74",2.3211741961742e-06,-0.000207448901310082
"75",2.3529711029711e-06,-0.00019894207083745
"76",2.38476800976801e-06,-0.000203208159112401
"77",2.41656491656492e-06,-0.000187045924199106
"78",2.44836182336182e-06,-0.000194029777032525
"79",2.48015873015873e-06,-0.000208643991517073
"80",2.51195563695564e-06,-0.000209457380163389
"81",2.54375254375254e-06,-0.000190592219428952
"82",2.57554945054945e-06,-0.000225167461147149
"83",2.60734635734636e-06,-0.000204031832152465
"84",2.63914326414326e-06,-0.000241627878311517
"85",2.67094017094017e-06,-0.000248217788373991
"86",2.70273707773708e-06,-0.000196148024116718
"87",2.73453398453398e-06,-0.000172152115948227
"88",2.76633089133089e-06,-0.000195164671207885
"89",2.7981277981278e-06,-0.000217835394213418
"90",2.8299247049247e-06,-0.000220880786500584
"91",2.86172161172161e-06,-0.00026919394343586
"92",2.89351851851852e-06,-0.000282987437105788
"93",2.92531542531543e-06,-0.000258064092700919
